Country,Flow,Commodity,Value
Australia,Export,"Coffee, tea, mate and spices",51911382.33
Austria,Import,"Coffee, tea, mate and spices",617877359.9
Austria,Export,"Coffee, tea, mate and spices",220619777.8
Bahrain,Import,"Coffee, tea, mate and spices",47869237.71
Bahrain,Export,"Coffee, tea, mate and spices",7285578.595
Armenia,Import,"Coffee, tea, mate and spices",51938340.42
Armenia,Export,"Coffee, tea, mate and spices",23611912.22
Barbados,Import,"Coffee, tea, mate and spices",5324351.5
Barbados,Export,"Coffee, tea, mate and spices",39844
Belgium,Import,"Coffee, tea, mate and spices",1076958197
Belgium,Export,"Coffee, tea, mate and spices",495072118.5
Bermuda,Import,"Coffee, tea, mate and spices",4915028.29
Bermuda,Export,"Coffee, tea, mate and spices",1735.94
Bolivia (Plurinational State of),Import,"Coffee, tea, mate and spices",6563525
Bolivia (Plurinational State of),Export,"Coffee, tea, mate and spices",16491878.64
Bosnia Herzegovina,Import,"Coffee, tea, mate and spices",84201472.66
Bosnia Herzegovina,Export,"Coffee, tea, mate and spices",10686703
Botswana,Import,"Coffee, tea, mate and spices",31867789.31
Botswana,Export,"Coffee, tea, mate and spices",489084.865
Brazil,Import,"Coffee, tea, mate and spices",182823026
Brazil,Export,"Coffee, tea, mate and spices",9002898579
Belize,Import,"Coffee, tea, mate and spices",5477970.775
Belize,Export,"Coffee, tea, mate and spices",63161.515
Brunei Darussalam,Import,"Coffee, tea, mate and spices",9704406.173
Brunei Darussalam,Export,"Coffee, tea, mate and spices",23333.356
Bulgaria,Import,"Coffee, tea, mate and spices",195395861.3
Bulgaria,Export,"Coffee, tea, mate and spices",123437309
Myanmar,Import,"Coffee, tea, mate and spices",9682587.32
Myanmar,Export,"Coffee, tea, mate and spices",68962496.11
Burundi,Import,"Coffee, tea, mate and spices",1497665.634
Burundi,Export,"Coffee, tea, mate and spices",77546129.83
Albania,Import,Cereals,105920944.5
Albania,Export,Cereals,2037348.462
Andorra,Import,Cereals,994734.267
Angola,Import,Cereals,827887069.6
Angola,Export,Cereals,194006.533
Azerbaijan,Import,Cereals,516275796
Azerbaijan,Export,Cereals,3724340.88
Argentina,Import,Cereals,47922298.16
Argentina,Export,Cereals,15462254300
Australia,Import,Cereals,281283079.6
Australia,Export,Cereals,13499420170
Austria,Import,Cereals,1027892169
Austria,Export,Cereals,709924082.6
Bahrain,Import,Cereals,140087127.3
Bahrain,Export,Cereals,1837986.776
Armenia,Import,Cereals,149285016.6
Armenia,Export,Cereals,746263.87
Barbados,Import,Cereals,24840827.5
Barbados,Export,Cereals,50638.5
Belgium,Import,Cereals,2999734376
Belgium,Export,Cereals,568988297
Bermuda,Import,Cereals,1666593.49
Bermuda,Export,Cereals,2683.6
Bolivia (Plurinational State of),Import,Cereals,22469829
Bolivia (Plurinational State of),Export,Cereals,53898652.8
Bosnia Herzegovina,Import,Cereals,186137519.7
Bosnia Herzegovina,Export,Cereals,9124707.23
Botswana,Import,Cereals,200761636.4
Botswana,Export,Cereals,1903579.352
